순위,선수,팀,킬,딜량,기절,어시스트,헤드샷,경기,경기당킬,경기당딜
269,GmI_lsm,GMI,2,362,1,0,0,5,0.4,72
270,WKD_DASH,WKD,2,356,2,0,0,5,0.4,71
271,GmI_Rabbit,GMI,2,335,3,0,0,5,0.4,67
272,DV_Kudos,DV,2,314,3,0,0,5,0.4,63
273,FX_Lavi,FX,2,304,2,1,0,5,0.4,61
274,SEN_Glance,SEN,2,261,0,1,0,5,0.4,52
275,9GY_PpeongTwikim,9GY,2,243,2,0,1,5,0.4,49
276,ZEN_LePol,ZEN,2,99,2,0,0,5,0.4,20
277,HMS_SigNaly,HMS,1,932,5,4,0,5,0.2,186
278,So_Yarr,SO,1,839,2,6,1,5,0.2,168
279,EDV_Shy,EDV,1,717,3,5,0,5,0.2,143
280,ER_youth,ER,1,618,1,1,0,5,0.2,124
281,9GY_Dookky,9GY,1,480,3,1,1,5,0.2,96
282,KMR_KrbyZ,KMR,1,465,1,0,0,5,0.2,93
283,CBL_BOW,CBL,1,403,2,0,0,5,0.2,81
284,7L_Eseu,7L,1,378,3,0,0,5,0.2,76
285,SRY_Jaechan,SRY,1,353,1,0,0,5,0.2,71
286,7L_Select,7L,1,344,1,1,0,5,0.2,69
287,Hi_Hoon,HI,1,339,2,2,1,5,0.2,68
288,SRI_LITA,SRI,1,290,1,1,0,5,0.2,58
289,CBL_SANG,CBL,1,272,2,0,1,5,0.2,54
290,02_Cha1n,02,1,271,1,0,1,5,0.2,54
291,Hi_yoon,HI,1,258,1,1,1,5,0.2,52
292,SRY_Wnsgur,SRY,1,194,2,0,0,5,0.2,39
293,MHG_DO,MHG,1,102,0,0,0,5,0.2,20
294,DV_Hotdog0v0,DV,0,742,1,3,0,5,0,148
295,9GY_Hyo1,9GY,0,612,1,1,0,5,0,122
296,9GY_GoChuTwiKim,9GY,0,586,0,0,0,5,0,117
297,FX_Shu,FX,0,537,3,0,0,5,0,107
298,4000_SanE,4000,0,504,0,1,0,5,0,101
299,SRY_10Lv,SRY,0,444,1,1,0,5,0,89
300,7L_Atom,7L,0,301,1,1,0,5,0,60
301,KMR_Gray,KMR,0,289,1,0,0,5,0,58
302,CS_MOODA,CS,0,213,0,1,0,5,0,43
303,FX_LaVi,FX,0,194,0,1,0,5,0,39
304,02_HotJun,02,0,191,1,1,0,5,0,38
305,HW_Dumbledore,HW,0,178,1,0,0,5,0,36
306,KMR_STAR,KMR,0,135,0,0,0,5,0,27
