스테이지,매치,일시,맵,순위,팀,킬,딜량,순위 점수,획득 점수
Cup Week 1,1,26. 6. 13. AM 9:50,ERANGEL,2,Qx,14,1743,6,20
Cup Week 1,1,26. 6. 13. AM 9:50,ERANGEL,1,SXA,8,1307,10,18
Cup Week 1,1,26. 6. 13. AM 9:50,ERANGEL,3,FL,7,1186,5,12
Cup Week 1,1,26. 6. 13. AM 9:50,ERANGEL,5,MM,4,350,3,7
Cup Week 1,1,26. 6. 13. AM 9:50,ERANGEL,8,EOS,6,1027,1,7
Cup Week 1,1,26. 6. 13. AM 9:50,ERANGEL,6,TCN,4,857,2,6
Cup Week 1,1,26. 6. 13. AM 9:50,ERANGEL,9,SGA,6,830,0,6
Cup Week 1,1,26. 6. 13. AM 9:50,ERANGEL,4,NG,1,205,4,5
Cup Week 1,1,26. 6. 13. AM 9:50,ERANGEL,7,XXX,3,560,1,4
Cup Week 1,1,26. 6. 13. AM 9:50,ERANGEL,12,KX,3,616,0,3
Cup Week 1,1,26. 6. 13. AM 9:50,ERANGEL,11,EV,1,378,0,1
Cup Week 1,1,26. 6. 13. AM 9:50,ERANGEL,13,WG,1,228,0,1
Cup Week 1,1,26. 6. 13. AM 9:50,ERANGEL,16,ALS,1,100,0,1
Cup Week 1,1,26. 6. 13. AM 9:50,ERANGEL,10,GA,0,264,0,0
Cup Week 1,1,26. 6. 13. AM 9:50,ERANGEL,14,HES,0,134,0,0
Cup Week 1,1,26. 6. 13. AM 9:50,ERANGEL,15,XGZ,0,212,0,0
Cup Week 1,2,26. 6. 13. AM 10:25,ERANGEL,1,HES,10,1602,10,20
Cup Week 1,2,26. 6. 13. AM 10:25,ERANGEL,2,EOS,9,1159,6,15
Cup Week 1,2,26. 6. 13. AM 10:25,ERANGEL,3,SXA,5,782,5,10
Cup Week 1,2,26. 6. 13. AM 10:25,ERANGEL,7,WG,8,923,1,9
Cup Week 1,2,26. 6. 13. AM 10:25,ERANGEL,4,MM,4,1040,4,8
Cup Week 1,2,26. 6. 13. AM 10:25,ERANGEL,6,FL,6,973,2,8
