순위,선수,팀,킬,딜량,기절시킴,어시스트,헤드샷,경기,경기당킬,경기당딜,평균 생존시간
82,JDG_SuZe,JD Gaming,8,1762,7,8,1,12,0.7,147,18:21
83,4AM_WINDah,4AM,8,1724,9,5,1,12,0.7,144,18:12
84,R8_empt,R8 Esports,7,1815,8,6,2,12,0.6,151,19:21
85,TYL_Haoskr,TYL,7,1562,8,3,2,12,0.6,130,17:16
86,TYL_1ee,TYL,7,1551,8,2,0,12,0.6,129,19:56
87,PeRo_MMing,PERO,7,1467,8,6,1,12,0.6,122,17:12
88,PeRo_Cui71,PERO,7,1162,7,3,1,12,0.6,97,17:42
89,NMSS_Staed,NMSS,6,1654,5,5,1,12,0.5,138,20:31
90,TWIS_TheTab,Twisted Minds,6,721,4,10,2,6,1,120,23:50
91,NMSS_Mellman,NMSS,5,1517,9,10,1,12,0.4,126,18:32
92,TYL_KKong,TYL,4,1090,5,3,0,12,0.3,91,17:25
93,TYL_OneDragon,TYL,3,1334,4,3,0,12,0.3,111,18:11
94,4AM_HSmm,4AM,3,1143,5,1,1,12,0.3,95,17:44
95,R8_AJRE,R8 Esports,3,1038,1,2,0,12,0.3,87,18:28
96,PeRo_04NB,PERO,2,967,3,4,1,12,0.2,81,18:06
97,4AM_SpaceMan1010,4AM,2,893,1,5,0,12,0.2,74,17:00
