스테이지,매치,일시,맵,순위,팀,킬,딜량,순위 점수,획득 점수
Survival Stage,1,26. 6. 4. 오후 7:00,ERANGEL,1,DN SOOPers,10,1232,10,20
Survival Stage,1,26. 6. 4. 오후 7:00,ERANGEL,3,Team Falcons,10,1772,5,15
Survival Stage,1,26. 6. 4. 오후 7:00,ERANGEL,2,CR,8,1374,6,14
Survival Stage,1,26. 6. 4. 오후 7:00,ERANGEL,5,GEN,8,1733,3,11
Survival Stage,1,26. 6. 4. 오후 7:00,ERANGEL,4,PeRo,4,1122,4,8
Survival Stage,1,26. 6. 4. 오후 7:00,ERANGEL,6,Team Vitality,4,936,2,6
Survival Stage,1,26. 6. 4. 오후 7:00,ERANGEL,11,GAM X TE,6,750,0,6
Survival Stage,1,26. 6. 4. 오후 7:00,ERANGEL,8,Full Sense,4,870,1,5
Survival Stage,1,26. 6. 4. 오후 7:00,ERANGEL,9,FUR,3,669,0,3
Survival Stage,1,26. 6. 4. 오후 7:00,ERANGEL,10,TL,2,718,0,2
Survival Stage,1,26. 6. 4. 오후 7:00,ERANGEL,7,EA,0,331,1,1
Survival Stage,1,26. 6. 4. 오후 7:00,ERANGEL,12,FCE,1,220,0,1
Survival Stage,1,26. 6. 4. 오후 7:00,ERANGEL,13,T5,1,95,0,1
Survival Stage,1,26. 6. 4. 오후 7:00,ERANGEL,14,CTG,1,510,0,1
Survival Stage,1,26. 6. 4. 오후 7:00,ERANGEL,15,S2G,1,170,0,1
Survival Stage,1,26. 6. 4. 오후 7:00,ERANGEL,16,JD Gaming,1,100,0,1
Survival Stage,2,26. 6. 4. 오후 7:39,MIRAMAR,1,Team Vitality,17,1656,10,27
Survival Stage,2,26. 6. 4. 오후 7:39,MIRAMAR,3,FUR,9,1690,5,14
Survival Stage,2,26. 6. 4. 오후 7:39,MIRAMAR,2,Team Falcons,7,2340,6,13
Survival Stage,2,26. 6. 4. 오후 7:39,MIRAMAR,4,PeRo,6,1777,4,10
Survival Stage,2,26. 6. 4. 오후 7:39,MIRAMAR,5,S2G,2,719,3,5
Survival Stage,2,26. 6. 4. 오후 7:39,MIRAMAR,12,GEN,5,601,0,5
Survival Stage,2,26. 6. 4. 오후 7:39,MIRAMAR,7,GAM X TE,3,812,1,4
Survival Stage,2,26. 6. 4. 오후 7:39,MIRAMAR,8,TL,3,665,1,4
Survival Stage,2,26. 6. 4. 오후 7:39,MIRAMAR,11,EA,4,746,0,4
Survival Stage,2,26. 6. 4. 오후 7:39,MIRAMAR,6,FCE,0,320,2,2
