순위,선수,팀,킬,딜량,기절시킴,어시스트,헤드샷,경기,경기당킬,경기당딜
1,MiTH_KISS,Made in Thailand,41,6654,27,21,13,15,2.7,444
2,VIT_Lev4nte,Team Vitality,37,6494,32,16,9,20,1.9,325
3,DNS_Heaven,DN SOOPers,32,5091,29,15,4,20,1.6,255
4,PeRo_Cui71,PERO,31,4402,27,13,8,20,1.6,220
5,FLC_Shrimzy,Team Falcons,30,5501,25,20,7,20,1.5,275
6,FLC_Kickstart,Team Falcons,28,4443,25,17,5,20,1.4,222
7,MiTH_Baren,Made in Thailand,27,5064,20,20,6,15,1.8,338
8,GTE_TanVuu,GAM X TE,25,5932,21,9,8,20,1.3,297
9,EA_OHPONDZ,EA,25,4874,28,14,5,20,1.3,244
10,VIT_hallomybad,Team Vitality,25,4251,29,17,4,20,1.3,213
11,CR_Pio,CR,25,3956,20,7,5,20,1.3,198
12,MiTH_Scappy,Made in Thailand,25,3925,25,11,6,15,1.7,262
13,PeRo_MMing,PERO,25,3543,17,14,3,20,1.3,177
14,MiTH_Jacob,Made in Thailand,23,3427,16,13,8,15,1.5,228
15,17_tiantianhaovo,17 Gaming,23,3314,27,10,5,15,1.5,221
16,GTE_Clories,GAM X TE,22,3798,17,7,5,20,1.1,190
17,DNS_DIEL,DN SOOPers,21,4089,17,15,2,20,1.1,204
18,GEN_BeaN,GEN,21,3774,16,12,5,20,1.1,189
19,VP_Beami,Virtus.pro,20,4195,19,10,6,15,1.3,280
20,TWIS_xmpl,Twisted Minds,20,4158,17,6,7,15,1.3,277
21,NAVI_boost1k-,NAVI,20,3761,21,13,6,15,1.3,251
22,GEN_Salute,GEN,19,4078,17,10,3,20,0.9,204
23,FLC_Gustav,Team Falcons,19,3957,18,11,3,20,0.9,198
24,EA_Nourinz,EA,19,3461,20,12,3,20,0.9,173
25,T1_EEND,T1,18,3963,14,4,4,15,1.2,264
26,NAVI_Hakatory,NAVI,18,3816,20,11,2,15,1.2,254
27,EA_Pathompong,EA,18,3353,14,10,0,20,0.9,168
28,GEN_seoul,GEN,17,4800,19,13,4,20,0.8,240
29,DNS_Rex,DN SOOPers,17,2817,14,10,1,20,0.8,141
30,CR_Gyuyeon,CR,17,2064,8,7,3,20,0.8,103
31,GTE_DuCkHjeUz,GAM X TE,16,3926,19,16,1,20,0.8,196
32,TWIS_Perfect1ks,Twisted Minds,16,3297,16,3,6,15,1.1,220
33,4AM_Shen,4AM,16,2964,18,6,4,15,1.1,198
34,GTE_Hoangf,GAM X TE,16,2653,13,7,5,20,0.8,133
