순위,선수,팀,킬,딜량,기절시킴,어시스트,헤드샷,경기,경기당킬,경기당딜
35,VP_NIXZYEE,Virtus.pro,15,4351,18,10,1,15,1,290
36,T1_Heather,T1,15,3878,18,7,1,15,1,259
37,VP_curexi,Virtus.pro,15,3521,17,7,4,15,1,235
38,VP_Lukarux,Virtus.pro,15,3459,18,10,9,15,1,231
39,T1_Type,T1,15,3129,15,8,3,15,1,209
40,AL_Himass,Anyone's Legend,15,3111,19,6,2,15,1,207
41,NAVI_Feyerist,NAVI,14,3317,18,10,5,15,0.9,221
42,17_xwudd,17 Gaming,14,2992,12,9,3,15,0.9,199
43,DNS_Gyumin,DN SOOPers,14,2872,15,7,5,20,0.7,144
44,FLC_TGLTN,Team Falcons,13,5323,25,14,4,20,0.7,266
45,PeRo_i26v6,PERO,13,3752,25,14,1,20,0.7,188
46,CR_Inonix,CR,13,2988,17,11,5,20,0.7,149
47,PeRo_04NB,PERO,13,2978,21,17,4,20,0.7,149
48,17_Lilghost,17 Gaming,13,2884,14,8,5,15,0.9,192
49,CR_Glaz,CR,12,3093,15,12,4,20,0.6,155
50,GEN_diyy,GEN,12,2975,15,8,5,20,0.6,149
51,VIT_QWZYYY,Team Vitality,12,2770,12,11,3,20,0.6,139
52,4AM_SpaceMan1010,4AM,12,2324,15,6,3,15,0.8,155
53,4AM_WINDah,4AM,11,2263,17,8,3,15,0.7,151
54,TWIS_BatulinS,Twisted Minds,10,2504,10,5,2,15,0.7,167
55,EA_Lericz,EA,10,2034,9,7,2,20,0.5,102
56,FUR_Dr4FTk1NG,FUR,9,2021,8,3,3,5,1.8,404
57,T1_Rain1ng,T1,9,1023,7,2,0,15,0.6,68
58,VIT_Gedrox,Team Vitality,8,2764,9,11,4,20,0.4,138
59,AL_Delwyn,Anyone's Legend,8,2547,9,2,1,15,0.5,170
60,17_WenBo,17 Gaming,8,1850,7,11,1,15,0.5,123
61,NAVI_spyrro,NAVI,7,2333,9,13,1,15,0.5,156
62,AL_Destroyy,Anyone's Legend,7,1855,8,3,0,15,0.5,124
63,FS_Belmoth,Full Sense,6,1097,5,1,2,5,1.2,219
64,FUR_possa,FUR,6,853,8,4,1,5,1.2,171
65,4AM_HSmm,4AM,5,2643,15,5,1,15,0.3,176
66,T5_Flukky,T5,4,1087,3,1,1,5,0.8,217
67,AL_Sololzy,Anyone's Legend,4,924,2,3,2,15,0.3,62
68,TL_CowBoi,TL,4,908,5,2,0,5,0.8,182
69,FS_TiGGER,Full Sense,4,825,5,1,1,5,0.8,165
70,FUR_zkrakeN,FUR,4,622,5,5,0,5,0.8,124
71,CTG_XcDh,CTG,4,519,4,1,0,5,0.8,104
72,TWIS_Lu,Twisted Minds,3,1366,6,2,1,15,0.2,91
73,CTG_Xcircle,CTG,3,886,4,3,3,5,0.6,177
74,JDG_nanss,JD Gaming,3,783,5,2,1,5,0.6,157
75,TL_luke12,TL,3,697,2,0,0,5,0.6,139
76,FS_Thanad0l,Full Sense,3,671,3,3,0,5,0.6,134
77,T5_DimasTy,T5,3,585,2,1,0,5,0.6,117
78,FCE_YUDIRT,FCE,3,569,2,2,1,5,0.6,114
79,TL_PurdyKurty,TL,3,258,1,0,0,5,0.6,52
80,FUR_bielmtcalmo,FUR,2,898,3,5,1,5,0.4,180
81,FCE_Zest,FCE,2,817,2,1,0,5,0.4,163
82,JDG_Cold119,JD Gaming,2,694,5,0,0,5,0.4,139
83,S2G_LAHZA,S2G,2,634,5,1,1,5,0.4,127
84,S2G_Shilla,S2G,2,506,2,0,0,5,0.4,101
85,CTG_MMAO,CTG,2,452,4,1,2,5,0.4,90
86,FCE_Tanbinh,FCE,2,446,4,1,0,5,0.4,89
87,T5_Khawkong,T5,1,845,2,1,1,5,0.2,169
88,T5_RangerX,T5,1,659,2,3,0,5,0.2,132
89,TL_aLOW,TL,1,637,0,2,0,5,0.2,127
90,S2G_BARON,S2G,1,624,2,1,1,5,0.2,125
91,FS_Flash,Full Sense,1,544,2,2,0,5,0.2,109
92,S2G_Quetpa,S2G,1,441,1,0,1,5,0.2,88
93,CTG_SuiX1ngKzK,CTG,1,403,2,3,0,5,0.2,81
94,JDG_SuZe,JD Gaming,0,425,2,1,0,5,0,85
95,JDG_Dec12th,JD Gaming,0,303,0,2,0,5,0,61
96,FCE_Br1annn,FCE,0,254,2,0,0,5,0,51
