순위,팀,경기,순위 점수,킬,합계,WWCD,누적딜,경기당킬,조정 비고
1,T1,10,36,46,82,2,9365,4.6,
2,4AM,10,26,39,65,1,5953,3.9,
3,Made in Thailand,10,25,39,64,0,7585,3.9,
4,TL,10,14,43,57,0,7466,4.3,
5,Team Falcons,5,27,27,54,2,7366,5.4,
6,NAVI,5,20,29,49,2,5429,5.8,
7,Twisted Minds,5,11,37,48,1,5131,7.4,
8,Anyone's Legend,5,19,27,46,1,5018,5.4,
9,GEN,10,13,32,45,0,7680,3.2,
10,CR,5,17,22,39,1,3143,4.4,
11,FCE,5,9,27,36,0,4653,5.4,
12,GAM X TE,5,12,22,34,0,4669,4.4,
13,DN SOOPers,5,11,23,34,0,4580,4.6,
14,FUR,5,9,25,34,0,3867,5,
15,Full Sense,10,7,27,34,0,6225,2.7,
16,17 Gaming,10,15,16,31,0,6246,1.6,
17,PERO,5,12,19,31,0,4298,3.8,
18,Virtus.pro,5,8,23,31,0,4163,4.6,
19,S2G,10,8,22,30,0,5550,2.2,
20,CTG,5,7,17,24,0,3519,3.4,
21,Team Vitality,5,5,13,18,0,3874,2.6,
22,EA,5,6,8,14,0,2316,1.6,
23,T5,5,3,10,13,0,3094,2,
24,JD Gaming,5,0,6,6,0,1609,1.2,

공식 최종 순위 (외부 출처 확인값)
순위,팀
1,Made in Thailand
2,T1
3,Twisted Minds
4,Four Angry Men

비고,공식 포맷은 Group Stage(9매치) → Winners Stage(5) → Survival Stage(5) → Final Stage(10) 총 29매치입니다. PUBG API 에는 Winners·Survival 만 등록돼 있어 10매치만 보유합니다.
