스테이지,매치,일시,맵,순위,팀,킬,딜량,순위 점수,획득 점수
Survival Stage,1,26. 4. 2. 오후 7:00,MIRAMAR,1,Team Vitality,11,1194,10,21
Survival Stage,1,26. 4. 2. 오후 7:00,MIRAMAR,6,T5,12,2499,2,14
Survival Stage,1,26. 4. 2. 오후 7:00,MIRAMAR,3,JD Gaming,7,1101,5,12
Survival Stage,1,26. 4. 2. 오후 7:00,MIRAMAR,2,CR,3,905,6,9
Survival Stage,1,26. 4. 2. 오후 7:00,MIRAMAR,14,17 Gaming,6,1027,0,6
Survival Stage,1,26. 4. 2. 오후 7:00,MIRAMAR,5,Virtus.pro,2,1068,3,5
Survival Stage,1,26. 4. 2. 오후 7:00,MIRAMAR,4,EA,0,592,4,4
Survival Stage,1,26. 4. 2. 오후 7:00,MIRAMAR,8,GEN,3,502,1,4
Survival Stage,1,26. 4. 2. 오후 7:00,MIRAMAR,10,TL,4,671,0,4
Survival Stage,1,26. 4. 2. 오후 7:00,MIRAMAR,11,CTG,2,399,0,2
Survival Stage,1,26. 4. 2. 오후 7:00,MIRAMAR,13,FUR,2,460,0,2
Survival Stage,1,26. 4. 2. 오후 7:00,MIRAMAR,15,Team Falcons,2,477,0,2
Survival Stage,1,26. 4. 2. 오후 7:00,MIRAMAR,7,TE,0,75,1,1
Survival Stage,1,26. 4. 2. 오후 7:00,MIRAMAR,9,Full Sense,1,726,0,1
Survival Stage,1,26. 4. 2. 오후 7:00,MIRAMAR,12,FCE,0,0,0,0
Survival Stage,1,26. 4. 2. 오후 7:00,MIRAMAR,16,S2G,0,28,0,0
Survival Stage,2,26. 4. 2. 오후 7:39,ERANGEL,1,TL,9,1087,10,19
Survival Stage,2,26. 4. 2. 오후 7:39,ERANGEL,2,EA,9,1291,6,15
Survival Stage,2,26. 4. 2. 오후 7:39,ERANGEL,3,Virtus.pro,8,940,5,13
Survival Stage,2,26. 4. 2. 오후 7:39,ERANGEL,5,Full Sense,6,1838,3,9
Survival Stage,2,26. 4. 2. 오후 7:39,ERANGEL,4,T5,4,693,4,8
Survival Stage,2,26. 4. 2. 오후 7:39,ERANGEL,9,FUR,7,1050,0,7
Survival Stage,2,26. 4. 2. 오후 7:39,ERANGEL,12,JD Gaming,6,881,0,6
Survival Stage,2,26. 4. 2. 오후 7:39,ERANGEL,10,Team Vitality,5,1119,0,5
Survival Stage,2,26. 4. 2. 오후 7:39,ERANGEL,6,S2G,1,621,2,3
Survival Stage,2,26. 4. 2. 오후 7:39,ERANGEL,7,CTG,1,242,1,2
Survival Stage,2,26. 4. 2. 오후 7:39,ERANGEL,8,TE,1,540,1,2
Survival Stage,2,26. 4. 2. 오후 7:39,ERANGEL,14,17 Gaming,2,475,0,2
Survival Stage,2,26. 4. 2. 오후 7:39,ERANGEL,11,FCE,1,498,0,1
Survival Stage,2,26. 4. 2. 오후 7:39,ERANGEL,13,Team Falcons,1,316,0,1
Survival Stage,2,26. 4. 2. 오후 7:39,ERANGEL,15,CR,0,150,0,0
Survival Stage,2,26. 4. 2. 오후 7:39,ERANGEL,16,GEN,0,51,0,0
Survival Stage,3,26. 4. 2. 오후 8:22,RONDO,1,TL,8,1431,10,18
Survival Stage,3,26. 4. 2. 오후 8:22,RONDO,3,T5,5,877,5,10
Survival Stage,3,26. 4. 2. 오후 8:22,RONDO,5,GEN,6,1388,3,9
Survival Stage,3,26. 4. 2. 오후 8:22,RONDO,7,FCE,8,873,1,9
Survival Stage,3,26. 4. 2. 오후 8:22,RONDO,4,CR,4,801,4,8
Survival Stage,3,26. 4. 2. 오후 8:22,RONDO,2,Virtus.pro,1,235,6,7
Survival Stage,3,26. 4. 2. 오후 8:22,RONDO,6,CTG,4,659,2,6
Survival Stage,3,26. 4. 2. 오후 8:22,RONDO,15,TE,6,688,0,6
Survival Stage,3,26. 4. 2. 오후 8:22,RONDO,10,17 Gaming,4,921,0,4
Survival Stage,3,26. 4. 2. 오후 8:22,RONDO,8,S2G,2,389,1,3
Survival Stage,3,26. 4. 2. 오후 8:22,RONDO,9,JD Gaming,2,1006,0,2
Survival Stage,3,26. 4. 2. 오후 8:22,RONDO,11,Full Sense,2,623,0,2
Survival Stage,3,26. 4. 2. 오후 8:22,RONDO,12,FUR,1,778,0,1
Survival Stage,3,26. 4. 2. 오후 8:22,RONDO,13,Team Vitality,1,535,0,1
Survival Stage,3,26. 4. 2. 오후 8:22,RONDO,14,Team Falcons,1,255,0,1
Survival Stage,3,26. 4. 2. 오후 8:22,RONDO,16,EA,1,420,0,1
Survival Stage,4,26. 4. 2. 오후 9:01,TAEGO,1,JD Gaming,10,1508,10,20
Survival Stage,4,26. 4. 2. 오후 9:01,TAEGO,2,EA,7,1331,6,13
Survival Stage,4,26. 4. 2. 오후 9:01,TAEGO,3,Virtus.pro,6,616,5,11
Survival Stage,4,26. 4. 2. 오후 9:01,TAEGO,4,TE,5,636,4,9
Survival Stage,4,26. 4. 2. 오후 9:01,TAEGO,5,Team Falcons,5,1365,3,8
Survival Stage,4,26. 4. 2. 오후 9:01,TAEGO,8,FUR,6,929,1,7
Survival Stage,4,26. 4. 2. 오후 9:01,TAEGO,11,17 Gaming,6,734,0,6
Survival Stage,4,26. 4. 2. 오후 9:01,TAEGO,9,T5,5,1081,0,5
Survival Stage,4,26. 4. 2. 오후 9:01,TAEGO,7,TL,3,1504,1,4
Survival Stage,4,26. 4. 2. 오후 9:01,TAEGO,6,GEN,1,526,2,3
Survival Stage,4,26. 4. 2. 오후 9:01,TAEGO,10,CR,2,461,0,2
Survival Stage,4,26. 4. 2. 오후 9:01,TAEGO,13,CTG,2,372,0,2
Survival Stage,4,26. 4. 2. 오후 9:01,TAEGO,12,Full Sense,1,588,0,1
Survival Stage,4,26. 4. 2. 오후 9:01,TAEGO,14,S2G,0,189,0,0
Survival Stage,4,26. 4. 2. 오후 9:01,TAEGO,15,Team Vitality,0,269,0,0
Survival Stage,4,26. 4. 2. 오후 9:01,TAEGO,16,FCE,0,420,0,0
Survival Stage,5,26. 4. 2. 오후 9:46,MIRAMAR,1,EA,5,1116,10,15
Survival Stage,5,26. 4. 2. 오후 9:46,MIRAMAR,2,CR,8,1282,6,14
Survival Stage,5,26. 4. 2. 오후 9:46,MIRAMAR,5,FCE,7,755,3,10
Survival Stage,5,26. 4. 2. 오후 9:46,MIRAMAR,3,GEN,3,858,5,8
Survival Stage,5,26. 4. 2. 오후 9:46,MIRAMAR,6,Virtus.pro,5,545,2,7
Survival Stage,5,26. 4. 2. 오후 9:46,MIRAMAR,7,17 Gaming,6,260,1,7
Survival Stage,5,26. 4. 2. 오후 9:46,MIRAMAR,4,TE,1,473,4,5
Survival Stage,5,26. 4. 2. 오후 9:46,MIRAMAR,8,FUR,4,1013,1,5
Survival Stage,5,26. 4. 2. 오후 9:46,MIRAMAR,11,Team Vitality,4,668,0,4
Survival Stage,5,26. 4. 2. 오후 9:46,MIRAMAR,12,CTG,4,347,0,4
Survival Stage,5,26. 4. 2. 오후 9:46,MIRAMAR,9,Full Sense,3,496,0,3
Survival Stage,5,26. 4. 2. 오후 9:46,MIRAMAR,10,Team Falcons,3,892,0,3
Survival Stage,5,26. 4. 2. 오후 9:46,MIRAMAR,14,S2G,3,646,0,3
Survival Stage,5,26. 4. 2. 오후 9:46,MIRAMAR,13,T5,2,641,0,2
Survival Stage,5,26. 4. 2. 오후 9:46,MIRAMAR,16,JD Gaming,2,477,0,2
Survival Stage,5,26. 4. 2. 오후 9:46,MIRAMAR,15,TL,1,142,0,1
Final Stage,6,26. 4. 3. 오후 7:00,ERANGEL,1,DN SOOPers,9,1464,10,19
Final Stage,6,26. 4. 3. 오후 7:00,ERANGEL,3,17 Gaming,10,1267,5,15
Final Stage,6,26. 4. 3. 오후 7:00,ERANGEL,2,PeRo,6,1821,6,12
Final Stage,6,26. 4. 3. 오후 7:00,ERANGEL,4,NAVI,7,1569,4,11
