순위,선수,팀,킬,딜량,기절시킴,어시스트,헤드샷,경기,경기당킬,경기당딜,평균 생존시간
1,VP_NIXZYEE,Virtus.pro,37,5873,29,10,4,20,1.9,294,21:43
2,17_tiantianhaovo,17 Gaming,37,4518,29,12,8,20,1.9,226,21:04
3,VIT_Lev4nte,Team Vitality,30,5920,23,12,12,20,1.5,296,21:10
4,VP_Beami,Virtus.pro,28,6305,33,18,12,20,1.4,315,24:04
5,VP_Lukarux,Virtus.pro,28,3815,19,10,1,20,1.4,191,23:08
6,CR_Pio,CR,27,4647,28,11,8,20,1.4,232,20:21
7,T5_RangerX,T5,27,4084,28,12,4,20,1.4,204,22:39
8,EA_Pathompong,EA,26,4307,21,14,4,20,1.3,215,24:08
9,JDG_Cold119,JD Gaming,25,5854,32,19,7,20,1.3,293,21:38
10,AL_Himass,Anyone's Legend,25,4428,26,8,4,15,1.7,295,21:04
11,17_WenBo,17 Gaming,25,3589,24,19,7,20,1.3,179,20:49
12,T1_Type,T1,25,3380,21,13,4,15,1.7,225,20:50
13,JDG_nanss,JD Gaming,24,4461,25,13,8,20,1.2,223,21:33
14,TL_luke12,TL,23,4078,17,16,7,20,1.1,204,23:41
15,17_xwudd,17 Gaming,23,3950,16,9,5,20,1.1,198,20:34
16,EA_OHPONDZ,EA,22,5431,25,15,7,20,1.1,272,22:58
17,TL_Cowboi,TL,22,4904,20,11,8,20,1.1,245,22:41
18,CR_Inonix,CR,21,4535,16,11,5,20,1.1,227,21:18
19,EA_Nourinz,EA,21,4155,18,14,5,20,1.1,208,23:46
20,T5_Excrozit,T5,21,4108,17,14,4,20,1.1,205,21:48
21,T5_Flukky,T5,19,4269,15,7,2,20,0.9,213,21:59
22,VP_curexi,Virtus.pro,18,4431,16,16,5,20,0.9,222,23:10
23,TWIS_xmpl,Twisted Minds,18,4014,21,13,6,15,1.2,268,22:19
24,MiTH_Scappy,Made in Thailand,18,3730,25,13,7,15,1.2,249,21:52
25,PeRo_MMing,PERO,18,3656,12,12,4,15,1.2,244,20:20
26,NAVI_boost1k-,NAVI,18,3525,16,6,6,15,1.2,235,20:38
27,JDG_Dec12th,JD Gaming,18,3289,16,7,3,20,0.9,164,20:58
28,T1_EEND,T1,17,3247,13,6,4,15,1.1,216,19:36
29,DNS_Rex,DN SOOPers,17,2212,15,3,3,15,1.1,147,21:53
30,T5_RossitedJR,T5,16,3431,19,12,2,20,0.8,172,21:09
31,CR_Glaz,CR,16,3009,16,9,2,20,0.8,150,21:14
32,VIT_QWZYYY,Team Vitality,16,2976,16,8,5,20,0.8,149,19:13
33,4AM_Shen,4AM,16,2902,16,1,2,15,1.1,193,18:49
34,PeRo_i26v6,PERO,16,2750,16,7,4,15,1.1,183,20:13
35,PeRo_04NB,PERO,16,2247,14,8,6,15,1.1,150,21:06
36,JDG_SuZe,JD Gaming,15,3349,15,9,4,20,0.8,167,22:22
37,NAVI_Hakatory,NAVI,14,4389,23,12,3,15,0.9,293,22:18
38,TL_aLOW,TL,14,3976,18,15,2,20,0.7,199,22:52
39,VIT_hallomybad,Team Vitality,14,3642,18,15,0,20,0.7,182,21:58
40,AL_Destroyy,Anyone's Legend,14,3282,15,14,2,15,0.9,219,21:49
41,MiTH_KISS,Made in Thailand,14,3226,18,8,2,15,0.9,215,20:57
42,MiTH_Jacob,Made in Thailand,14,2903,15,7,4,15,0.9,194,21:43
43,DNS_DIEL,DN SOOPers,14,2844,16,6,6,15,0.9,190,22:48
44,TL_PurdyKurty,TL,14,2622,12,7,1,20,0.7,131,23:36
45,T1_Heather,T1,13,3001,15,14,2,15,0.9,200,21:29
46,NAVI_Feyerist,NAVI,13,2477,12,6,3,15,0.9,165,20:41
47,T1_Rain1ng,T1,13,2412,10,9,3,15,0.9,161,20:57
48,EA_Lericz,EA,13,2255,11,7,1,20,0.7,113,22:26
49,CR_Gyuyeon,CR,12,3181,13,11,3,20,0.6,159,21:16
50,AL_Sololzy,Anyone's Legend,12,2741,12,5,3,15,0.8,183,20:34
51,TWIS_Molodoct,Twisted Minds,12,2661,16,8,3,15,0.8,177,21:46
52,VIT_Gedrox,Team Vitality,12,1884,13,2,2,20,0.6,94,18:33
53,MiTH_Baren,Made in Thailand,11,3808,16,12,2,15,0.7,254,20:51
54,TWIS_Lu,Twisted Minds,11,2515,11,13,0,15,0.7,168,22:05
55,FUR_possa,FUR,11,1298,11,1,3,5,2.2,260,20:12
56,17_Lilghost,17 Gaming,10,2616,14,10,1,20,0.5,131,19:41
57,AL_Delwyn,Anyone's Legend,10,2608,8,7,4,15,0.7,174,18:49
58,DNS_Heaven,DN SOOPers,10,2175,9,8,2,15,0.7,145,22:11
59,DNS_Gyumin,DN SOOPers,9,1807,8,7,3,15,0.6,120,22:10
60,PeRo_Cui711,PERO,9,1509,10,10,2,15,0.6,101,18:51
61,4AM_SpaceMan1010,4AM,8,2683,13,5,0,15,0.5,179,20:39
62,TWIS_BatulinS,Twisted Minds,8,1545,9,4,1,15,0.5,103,19:57
63,FCE_Br1annn,FCE,7,918,5,1,3,5,1.4,184,17:57
64,NAVI_spyrro,NAVI,6,2696,13,11,3,15,0.4,180,19:34
65,4AM_HSmm,4AM,5,2276,10,7,2,15,0.3,152,20:16
66,FUR_Dr4FTk1NG,FUR,5,1136,6,3,0,5,1,227,20:34
67,FS_Belmoth,Full Sense,5,970,4,4,1,5,1,194,22:56
68,GEN_Salute,GEN,5,910,4,2,0,5,1,182,20:30
69,CTG_SuiX1ngKzK,CTG,5,536,5,3,1,5,1,107,22:37
70,FLC_TGLTN,Team Falcons,4,1271,9,6,1,5,0.8,254,18:47
71,FS_TiGGER,Full Sense,4,1142,6,3,1,5,0.8,228,20:47
72,GEN_seoul,GEN,4,992,6,2,0,5,0.8,198,20:43
73,TE_TanVuu,TE,4,853,4,1,1,5,0.8,171,21:52
74,FLC_hwinn,Team Falcons,4,750,4,1,1,5,0.8,150,19:31
75,TE_Hoangf,TE,4,656,4,2,0,5,0.8,131,23:59
76,FCE_Tanbinh,FCE,4,581,4,0,1,5,0.8,116,16:16
77,CTG_XcDH,CTG,4,434,4,1,2,5,0.8,87,22:48
78,4AM_WINDah,4AM,3,1667,6,3,0,15,0.2,111,19:54
79,FUR_zkraken,FUR,3,816,3,2,0,5,0.6,163,20:24
80,TE_Clories,TE,3,530,3,3,1,5,0.6,106,24:13
81,FCE_StannnL,FCE,3,461,2,2,0,5,0.6,92,17:00
82,FS_Thanad0l,Full Sense,2,1224,5,2,0,5,0.4,245,19:53
83,FS_Flash,Full Sense,2,935,6,0,1,5,0.4,187,20:23
84,CTG_PeekK1ng,CTG,2,731,3,6,1,5,0.4,146,22:28
85,GEN_diyy,GEN,2,726,2,4,0,5,0.4,145,21:31
86,GEN_BeaN,GEN,2,697,3,3,1,5,0.4,139,15:55
87,FLC_Kickstart,Team Falcons,2,693,3,2,0,5,0.4,139,20:36
88,FLC_Shrimzy,Team Falcons,2,591,1,1,2,5,0.4,118,20:30
89,FCE_Zest,FCE,2,586,1,3,0,5,0.4,117,19:32
90,S2G_CCINEXT,S2G,2,490,3,0,1,5,0.4,98,19:26
91,S2G_Quetpa,S2G,2,389,2,1,2,5,0.4,78,20:45
92,TE_DuCkHjeUz,TE,2,373,3,3,0,5,0.4,75,25:31
93,CTG_MMAO,CTG,2,318,2,3,0,5,0.4,64,22:16
94,FUR_bielmtcalmo,FUR,1,980,3,3,1,5,0.2,196,21:59
95,S2G_Shilla,S2G,1,635,2,2,0,5,0.2,127,19:50
96,S2G_BARON,S2G,1,359,4,1,1,5,0.2,72,20:00
