스테이지,매치,일시,맵,순위,팀,킬,딜량,순위 점수,획득 점수
Invitational,5,26. 8. 1. 오전 2:44,ERANGEL,8,Team Vitality,8,1243,1,9
Invitational,5,26. 8. 1. 오전 2:44,ERANGEL,3,Geekay Esports,1,728,5,6
Invitational,5,26. 8. 1. 오전 2:44,ERANGEL,5,Full Sense,3,548,3,6
Invitational,5,26. 8. 1. 오전 2:44,ERANGEL,12,Twisted Minds,6,723,0,6
Invitational,5,26. 8. 1. 오전 2:44,ERANGEL,6,JD Gaming,3,784,2,5
Invitational,5,26. 8. 1. 오전 2:44,ERANGEL,7,Virtus.pro,3,585,1,4
Invitational,5,26. 8. 1. 오전 2:44,ERANGEL,16,Team Falcons,3,624,0,3
Invitational,5,26. 8. 1. 오전 2:44,ERANGEL,10,Shadow Esports,2,469,0,2
Invitational,5,26. 8. 1. 오전 2:44,ERANGEL,11,R8 Esports,2,222,0,2
Invitational,5,26. 8. 1. 오전 2:44,ERANGEL,14,DIGA Esports,2,307,0,2
Invitational,5,26. 8. 1. 오전 2:44,ERANGEL,9,17 Gaming,1,342,0,1
Invitational,5,26. 8. 1. 오전 2:44,ERANGEL,13,MiTH,0,597,0,0
Invitational,5,26. 8. 1. 오전 2:44,ERANGEL,15,Anyone's Legend,0,101,0,0
Invitational,6,26. 8. 1. 오후 6:42,TAEGO,1,Team Falcons,11,2008,10,21
Invitational,6,26. 8. 1. 오후 6:42,TAEGO,2,GAM X TE,10,1588,6,16
Invitational,6,26. 8. 1. 오후 6:42,TAEGO,3,MiTH,5,1282,5,10
Invitational,6,26. 8. 1. 오후 6:42,TAEGO,5,Full Sense,4,897,3,7
Invitational,6,26. 8. 1. 오후 6:42,TAEGO,4,R8 Esports,1,325,4,5
Invitational,6,26. 8. 1. 오후 6:42,TAEGO,8,17 Gaming,4,920,1,5
Invitational,6,26. 8. 1. 오후 6:42,TAEGO,10,DN SOOPers,5,925,0,5
Invitational,6,26. 8. 1. 오후 6:42,TAEGO,9,Shadow Esports,4,804,0,4
Invitational,6,26. 8. 1. 오후 6:42,TAEGO,12,Geekay Esports,4,396,0,4
Invitational,6,26. 8. 1. 오후 6:42,TAEGO,14,T1,4,597,0,4
Invitational,6,26. 8. 1. 오후 6:42,TAEGO,6,Twisted Minds,1,771,2,3
Invitational,6,26. 8. 1. 오후 6:42,TAEGO,13,Team Vitality,3,444,0,3
Invitational,6,26. 8. 1. 오후 6:42,TAEGO,11,JD Gaming,2,398,0,2
Invitational,6,26. 8. 1. 오후 6:42,TAEGO,15,Anyone's Legend,2,426,0,2
Invitational,6,26. 8. 1. 오후 6:42,TAEGO,7,Virtus.pro,0,386,1,1
Invitational,6,26. 8. 1. 오후 6:42,TAEGO,16,DIGA Esports,1,437,0,1
Invitational,7,26. 8. 1. 오후 7:36,ERANGEL,1,Team Vitality,11,1398,10,21
Invitational,7,26. 8. 1. 오후 7:36,ERANGEL,2,MiTH,6,1241,6,12
Invitational,7,26. 8. 1. 오후 7:36,ERANGEL,3,Team Falcons,5,1579,5,10
Invitational,7,26. 8. 1. 오후 7:36,ERANGEL,7,17 Gaming,7,760,1,8
Invitational,7,26. 8. 1. 오후 7:36,ERANGEL,9,JD Gaming,8,1204,0,8
Invitational,7,26. 8. 1. 오후 7:36,ERANGEL,6,DIGA Esports,5,956,2,7
Invitational,7,26. 8. 1. 오후 7:36,ERANGEL,8,Twisted Minds,6,1052,1,7
Invitational,7,26. 8. 1. 오후 7:36,ERANGEL,4,DN SOOPers,1,589,4,5
Invitational,7,26. 8. 1. 오후 7:36,ERANGEL,11,T1,4,546,0,4
Invitational,7,26. 8. 1. 오후 7:36,ERANGEL,5,R8 Esports,0,624,3,3
Invitational,7,26. 8. 1. 오후 7:36,ERANGEL,12,GAM X TE,3,304,0,3
Invitational,7,26. 8. 1. 오후 7:36,ERANGEL,10,Virtus.pro,2,845,0,2
Invitational,7,26. 8. 1. 오후 7:36,ERANGEL,13,Full Sense,1,380,0,1
Invitational,7,26. 8. 1. 오후 7:36,ERANGEL,14,Anyone's Legend,1,420,0,1
Invitational,7,26. 8. 1. 오후 7:36,ERANGEL,15,Shadow Esports,1,340,0,1
Invitational,7,26. 8. 1. 오후 7:36,ERANGEL,16,Geekay Esports,1,587,0,1
