순위,선수,팀,킬,딜량,기절시킴,어시스트,헤드샷,경기,경기당킬,경기당딜,평균 생존시간
59,JDG_SuZe,JD Gaming,9,2208,8,1,1,15,0.6,147,22:01
60,S2G_BARON,S2G,9,1867,9,4,3,15,0.6,124,22:06
61,EA_Pathompong,EA,8,2711,10,13,2,15,0.5,181,22:41
62,DNS_Rex,DN SOOPers,8,1980,7,5,1,15,0.5,132,20:29
63,VIT_Lev4nte,Team Vitality,8,1837,8,6,2,10,0.8,184,21:22
64,CR_Gyuyeon,CR,8,1499,7,2,1,10,0.8,150,18:27
65,T5_RangerX,T5,8,1302,8,2,4,10,0.8,130,20:41
66,DNS_Heaven,DN SOOPers,7,2615,9,6,2,15,0.5,174,22:16
67,TL_CowBoi,TL,7,2203,10,1,2,5,1.4,441,20:46
68,17_xwudd,17 Gaming,7,2168,14,9,2,10,0.7,217,20:29
69,EA_Nourinz,EA,7,2095,7,7,2,15,0.5,140,21:49
70,EA_Lericz,EA,7,1679,6,7,1,15,0.5,112,21:45
71,T5_RossitedJR,T5,7,1377,8,7,1,10,0.7,138,21:28
72,VIT_Gedrox,Team Vitality,7,749,5,2,1,10,0.7,75,16:56
73,NAVI_Feyerist,NAVI,6,1706,6,7,1,15,0.4,114,21:39
74,T5_Flukky,T5,6,1655,7,8,0,10,0.6,166,21:34
75,CR_Inonix,CR,6,1506,9,3,3,10,0.6,151,17:11
76,TL_PurdyKurty,TL,6,493,5,2,2,5,1.2,99,20:51
77,FUR_possa,FUR,5,1493,8,7,2,15,0.3,100,18:47
78,VP_NIXZYEE,Virtus.pro,5,1472,6,2,4,5,1,294,22:03
79,GEN_Salute,GEN,5,1467,6,5,0,5,1,293,24:55
80,VIT_QWZYYY,Team Vitality,5,1206,6,1,1,10,0.5,121,20:11
81,CR_Pio,CR,5,1203,5,3,1,10,0.5,120,15:41
82,GEN_BeaN,GEN,5,1166,7,5,1,5,1,233,24:06
83,17_Lilghost,17 Gaming,5,771,6,4,1,10,0.5,77,17:17
84,VP_curexi,Virtus.pro,4,955,4,0,1,5,0.8,191,22:57
85,VIT_hallomybad,Team Vitality,4,918,5,0,0,10,0.4,92,17:47
86,GEN_diyy,GEN,4,841,3,5,1,5,0.8,168,24:28
87,CR_Glaz,CR,3,833,2,1,1,10,0.3,83,16:38
88,VP_Beami,Virtus.pro,3,823,2,0,0,5,0.6,165,21:39
89,CTG_XcDH,CTG,3,433,3,1,1,5,0.6,87,20:21
90,GEN_seoul,GEN,2,1155,4,2,1,5,0.4,231,24:24
91,TL_luke12,TL,2,707,3,2,0,5,0.4,141,20:08
92,VP_Lukarux,Virtus.pro,2,594,2,2,1,5,0.4,119,21:24
93,CTG_SuiX1ngKzK,CTG,2,537,4,3,2,5,0.4,107,19:18
94,CTG_MMAO,CTG,2,266,1,1,0,5,0.4,53,18:22
95,TL_aLOW,TL,1,645,1,2,0,5,0.2,129,18:30
96,CTG_PeekK1ng,CTG,0,443,2,4,0,5,0,89,19:02
