순위,팀,경기,순위 점수,킬,합계,WWCD,누적딜,경기당킬
1,Virtus.pro,20,68,111,179,2,20424,5.5
2,EA,20,67,82,149,3,16148,4.1
3,JD Gaming,20,50,82,132,3,16953,4.1
4,TL,20,57,73,130,3,15580,3.6
5,CR,20,48,76,124,2,15372,3.8
6,17 Gaming,20,22,95,117,0,14673,4.8
7,T5,20,28,83,111,0,15892,4.2
8,Team Vitality,20,38,72,110,1,14422,3.6
9,T1,15,25,68,93,1,12040,4.5
10,NAVI,15,39,51,90,1,13087,3.4
11,PERO,15,30,59,89,1,10162,3.9
12,Made in Thailand,15,29,57,86,0,13667,3.8
13,Anyone's Legend,15,25,61,86,1,13059,4.1
14,DN SOOPers,15,35,50,85,1,9038,3.3
15,Twisted Minds,15,20,49,69,1,10735,3.3
16,4AM,15,20,32,52,0,9528,2.1
17,GEN,5,11,13,24,0,3325,2.6
18,TE,5,10,13,23,0,2412,2.6
19,FUR,5,2,20,22,0,4230,4
20,FCE,5,4,16,20,0,2546,3.2
21,CTG,5,3,13,16,0,2019,2.6
22,Full Sense,5,3,13,16,0,4271,2.6
23,Team Falcons,5,3,12,15,0,3305,2.4
24,S2G,5,3,6,9,0,1873,1.2

공식 최종 순위 (외부 출처 확인값)
순위,팀
1,Virtus.pro
2,eArena
3,T1
4,17 Gaming
