순위,팀,경기,순위 점수,킬,합계,WWCD,누적딜,경기당킬
1,NAVI,20,56,103,159,3,20410,5.2
2,PERO,20,50,88,138,2,14135,4.4
3,17 Gaming,15,47,89,136,2,17305,5.9
4,FUR,20,46,76,122,0,15640,3.8
5,Anyone's Legend,15,48,70,118,2,12671,4.7
6,DN SOOPers,15,50,61,111,3,11991,4.1
7,Twisted Minds,15,42,69,111,1,16098,4.6
8,Team Vitality,15,43,61,104,2,12261,4.1
9,Team Falcons,15,33,70,103,1,14269,4.7
10,Made in Thailand,20,26,70,96,0,14522,3.5
11,4AM,15,27,62,89,0,13205,4.1
12,FCE,20,20,63,83,0,11724,3.1
13,EA,15,28,54,82,1,11309,3.6
14,CR,15,26,54,80,0,12175,3.6
15,Full Sense,15,16,59,75,1,9997,3.9
16,TE,15,24,32,56,1,9551,2.1
17,T1,10,13,25,38,0,6704,2.5
18,S2G,10,12,23,35,0,5271,2.3
19,Virtus.pro,5,5,18,23,0,4522,3.6
20,CTG,5,14,8,22,1,2612,1.6
21,GEN,5,5,16,21,0,3097,3.2
22,T5,5,5,15,20,0,4280,3
23,JD Gaming,10,0,16,16,0,4128,1.6
24,TL,5,4,9,13,0,2414,1.8

공식 최종 순위 (외부 출처 확인값)
순위,팀
1,Natus Vincere
2,Anyone's Legend
3,Petrichor Road
4,DN SOOPers
