스테이지,매치,일시,맵,순위,팀,킬,딜량,순위 점수,획득 점수
Winners Stage,1,26. 5. 21. AM 10:00,ERANGEL,1,Team Falcons,5,1640,10,15
Winners Stage,1,26. 5. 21. AM 10:00,ERANGEL,2,PeRo,7,1882,6,13
Winners Stage,1,26. 5. 21. AM 10:00,ERANGEL,4,17 Gaming,8,1294,4,12
Winners Stage,1,26. 5. 21. AM 10:00,ERANGEL,3,S2G,5,1168,5,10
Winners Stage,1,26. 5. 21. AM 10:00,ERANGEL,5,Made in Thailand,3,559,3,6
Winners Stage,1,26. 5. 21. AM 10:00,ERANGEL,9,TL,5,1211,0,5
Winners Stage,1,26. 5. 21. AM 10:00,ERANGEL,10,FUR,5,626,0,5
Winners Stage,1,26. 5. 21. AM 10:00,ERANGEL,11,Full Sense,5,684,0,5
Winners Stage,1,26. 5. 21. AM 10:00,ERANGEL,12,Virtus.pro,5,952,0,5
Winners Stage,1,26. 5. 21. AM 10:00,ERANGEL,6,DN SOOPers,2,691,2,4
Winners Stage,1,26. 5. 21. AM 10:00,ERANGEL,7,T1,1,565,1,2
Winners Stage,1,26. 5. 21. AM 10:00,ERANGEL,13,GAM X TE,2,615,0,2
Winners Stage,1,26. 5. 21. AM 10:00,ERANGEL,14,CR,2,399,0,2
Winners Stage,1,26. 5. 21. AM 10:00,ERANGEL,8,4AM,0,164,1,1
Winners Stage,1,26. 5. 21. AM 10:00,ERANGEL,15,GEN,1,226,0,1
Winners Stage,1,26. 5. 21. AM 10:00,ERANGEL,16,Twisted Minds,1,273,0,1
Winners Stage,2,26. 5. 21. AM 10:42,MIRAMAR,1,4AM,10,1438,10,20
Winners Stage,2,26. 5. 21. AM 10:42,MIRAMAR,3,Virtus.pro,7,1228,5,12
Winners Stage,2,26. 5. 21. AM 10:42,MIRAMAR,2,T1,4,778,6,10
Winners Stage,2,26. 5. 21. AM 10:42,MIRAMAR,5,DN SOOPers,6,965,3,9
Winners Stage,2,26. 5. 21. AM 10:42,MIRAMAR,6,GAM X TE,6,1327,2,8
Winners Stage,2,26. 5. 21. AM 10:42,MIRAMAR,4,CR,2,217,4,6
Winners Stage,2,26. 5. 21. AM 10:42,MIRAMAR,7,FUR,4,621,1,5
Winners Stage,2,26. 5. 21. AM 10:42,MIRAMAR,8,Team Falcons,4,2206,1,5
Winners Stage,2,26. 5. 21. AM 10:42,MIRAMAR,11,GEN,4,394,0,4
Winners Stage,2,26. 5. 21. AM 10:42,MIRAMAR,10,Twisted Minds,3,784,0,3
Winners Stage,2,26. 5. 21. AM 10:42,MIRAMAR,13,Full Sense,3,520,0,3
Winners Stage,2,26. 5. 21. AM 10:42,MIRAMAR,9,17 Gaming,2,709,0,2
Winners Stage,2,26. 5. 21. AM 10:42,MIRAMAR,14,S2G,2,423,0,2
Winners Stage,2,26. 5. 21. AM 10:42,MIRAMAR,12,TL,1,346,0,1
Winners Stage,2,26. 5. 21. AM 10:42,MIRAMAR,15,Made in Thailand,1,253,0,1
Winners Stage,2,26. 5. 21. AM 10:42,MIRAMAR,16,PeRo,1,180,0,1
Winners Stage,3,26. 5. 21. AM 11:26,TAEGO,1,CR,10,1529,10,20
Winners Stage,3,26. 5. 21. AM 11:26,TAEGO,2,FUR,7,1047,6,13
Winners Stage,3,26. 5. 21. AM 11:26,TAEGO,5,Virtus.pro,7,1237,3,10
Winners Stage,3,26. 5. 21. AM 11:26,TAEGO,9,Twisted Minds,10,1236,0,10
Winners Stage,3,26. 5. 21. AM 11:26,TAEGO,3,GAM X TE,2,714,5,7
Winners Stage,3,26. 5. 21. AM 11:26,TAEGO,6,TL,5,1017,2,7
Winners Stage,3,26. 5. 21. AM 11:26,TAEGO,7,Made in Thailand,6,829,1,7
Winners Stage,3,26. 5. 21. AM 11:26,TAEGO,4,17 Gaming,1,212,4,5
Winners Stage,3,26. 5. 21. AM 11:26,TAEGO,12,Team Falcons,5,606,0,5
Winners Stage,3,26. 5. 21. AM 11:26,TAEGO,8,GEN,3,1121,1,4
Winners Stage,3,26. 5. 21. AM 11:26,TAEGO,11,Full Sense,3,743,0,3
Winners Stage,3,26. 5. 21. AM 11:26,TAEGO,10,T1,2,498,0,2
Winners Stage,3,26. 5. 21. AM 11:26,TAEGO,13,PeRo,2,510,0,2
Winners Stage,3,26. 5. 21. AM 11:26,TAEGO,16,S2G,1,197,0,1
Winners Stage,3,26. 5. 21. AM 11:26,TAEGO,14,4AM,0,220,0,0
Winners Stage,3,26. 5. 21. AM 11:26,TAEGO,15,DN SOOPers,0,95,0,0
Winners Stage,4,26. 5. 21. PM 12:07,RONDO,2,DN SOOPers,11,2029,6,17
Winners Stage,4,26. 5. 21. PM 12:07,RONDO,1,Team Falcons,5,1105,10,15
Winners Stage,4,26. 5. 21. PM 12:07,RONDO,4,TL,9,905,4,13
Winners Stage,4,26. 5. 21. PM 12:07,RONDO,5,CR,8,998,3,11
Winners Stage,4,26. 5. 21. PM 12:07,RONDO,3,Made in Thailand,3,436,5,8
Winners Stage,4,26. 5. 21. PM 12:07,RONDO,6,PeRo,5,764,2,7
Winners Stage,4,26. 5. 21. PM 12:07,RONDO,11,FUR,6,716,0,6
Winners Stage,4,26. 5. 21. PM 12:07,RONDO,7,Twisted Minds,4,580,1,5
Winners Stage,4,26. 5. 21. PM 12:07,RONDO,10,GAM X TE,4,523,0,4
Winners Stage,4,26. 5. 21. PM 12:07,RONDO,9,Virtus.pro,2,343,0,2
Winners Stage,4,26. 5. 21. PM 12:07,RONDO,14,Full Sense,2,1182,0,2
Winners Stage,4,26. 5. 21. PM 12:07,RONDO,8,T1,0,1245,1,1
Winners Stage,4,26. 5. 21. PM 12:07,RONDO,15,S2G,1,403,0,1
Winners Stage,4,26. 5. 21. PM 12:07,RONDO,16,GEN,1,303,0,1
Winners Stage,4,26. 5. 21. PM 12:07,RONDO,12,4AM,0,179,0,0
Winners Stage,4,26. 5. 21. PM 12:07,RONDO,13,17 Gaming,0,22,0,0
Winners Stage,5,26. 5. 21. PM 12:52,ERANGEL,1,Twisted Minds,19,2258,10,29
Winners Stage,5,26. 5. 21. PM 12:52,ERANGEL,2,Team Falcons,8,1809,6,14
Winners Stage,5,26. 5. 21. PM 12:52,ERANGEL,3,GAM X TE,8,1490,5,13
Winners Stage,5,26. 5. 21. PM 12:52,ERANGEL,4,PeRo,4,962,4,8
Winners Stage,5,26. 5. 21. PM 12:52,ERANGEL,5,T1,4,725,3,7
Winners Stage,5,26. 5. 21. PM 12:52,ERANGEL,6,FUR,3,857,2,5
Winners Stage,5,26. 5. 21. PM 12:52,ERANGEL,13,DN SOOPers,4,800,0,4
Winners Stage,5,26. 5. 21. PM 12:52,ERANGEL,9,TL,3,217,0,3
Winners Stage,5,26. 5. 21. PM 12:52,ERANGEL,10,S2G,3,522,0,3
Winners Stage,5,26. 5. 21. PM 12:52,ERANGEL,7,Made in Thailand,1,514,1,2
Winners Stage,5,26. 5. 21. PM 12:52,ERANGEL,14,Virtus.pro,2,403,0,2
