순위,선수,팀,킬,딜량,기절시킴,어시스트,헤드샷,경기,경기당킬,경기당딜
192,EV_Day1,EV,1,576,3,5,1,5,0.2,115
193,PNKO_huka,PNKO,1,473,1,0,1,5,0.2,95
194,XXX_Xian7iz,XXX,1,437,2,2,0,5,0.2,87
195,SLT_Haru,SLT,1,437,2,1,1,5,0.2,87
196,SRI_Caria,SRI,1,432,1,1,0,5,0.2,86
197,SSH_Binicius,SSH,1,426,2,3,0,5,0.2,85
198,MAY_Yarr,MAY,1,307,1,3,1,5,0.2,61
199,DPS_Hanul,DPS,1,284,2,0,0,5,0.2,57
200,NG_crong,NG,1,272,1,1,0,5,0.2,54
201,EV_HwaEN,EV,1,223,1,0,0,5,0.2,45
202,MAY_MN3,MAY,1,119,1,0,0,5,0.2,24
203,NS_RicE,NS,0,382,1,1,0,5,0,76
204,OM_Pez,OM,0,339,2,4,0,5,0,68
205,So_Yarr,SO,0,323,1,1,0,5,0,65
206,DPS_UnLimit,DPS,0,299,1,0,0,5,0,60
207,NS_yoyangwon,NS,0,295,1,1,0,5,0,59
208,EV_Muner,EV,0,272,1,1,0,5,0,54
209,GA_Aki,GA,0,268,0,1,0,5,0,54
210,JOA_KXAKK,JOA,0,263,1,0,0,5,0,53
211,DPS_Nater,DPS,0,243,0,0,0,5,0,49
212,KCR_Cat,KCR,0,219,0,0,0,5,0,44
213,GA_TemPo,GA,0,129,0,0,0,5,0,26
