순위,선수,팀,킬,딜량,기절시킴,어시스트,헤드샷,경기,경기당킬,경기당딜,평균 생존시간
32,VP_Beami,Virtus.pro,8,796,6,5,3,5,1.6,159,20:51
33,TL_PurdyKurty,TL,7,1529,9,4,2,10,0.7,153,19:04
34,NAVI_spyrro,NAVI,7,1433,9,4,1,5,1.4,287,25:13
35,GEN_diyy,GEN,7,1423,9,4,1,10,0.7,142,17:15
36,VP_curexi,Virtus.pro,7,1145,8,3,2,5,1.4,229,20:12
37,DNS_DIEL,DN SOOPers,7,1012,5,6,1,5,1.4,202,20:23
38,FCE_Tanbinh,FCE,7,983,8,3,0,5,1.4,197,24:23
39,TWIS_BatulinS,Twisted Minds,7,829,3,6,0,5,1.4,166,20:16
40,CTG_XcDh,CTG,7,825,6,0,0,5,1.4,165,23:00
41,GEN_seoul,GEN,6,2297,10,7,3,10,0.6,230,19:28
42,T1_EEND,T1,6,2081,9,8,3,10,0.6,208,18:59
43,FLC_Kickstart,Team Falcons,6,1878,5,5,1,5,1.2,376,26:52
44,DNS_Heaven,DN SOOPers,6,1475,6,5,1,5,1.2,295,20:36
45,NAVI_boost1k-,NAVI,6,1361,5,2,3,5,1.2,272,22:35
46,GTE_TanVuu,GAM X TE,6,1316,8,4,1,5,1.2,263,25:17
47,FUR_Dr4FTk1NG,FUR,6,1135,5,6,3,5,1.2,227,24:45
48,CR_Glaz,CR,6,703,6,0,0,5,1.2,141,22:43
49,FS_Belmoth,Full Sense,5,1863,5,4,2,10,0.5,186,19:26
50,S2G_LAHZA,S2G,5,1728,5,2,0,10,0.5,173,20:12
51,VIT_Lev4nte,Team Vitality,5,1648,3,1,1,5,1,330,20:30
52,GEN_Salute,GEN,5,1488,4,4,1,10,0.5,149,17:47
53,CTG_Xcircle,CTG,5,1415,8,4,5,5,1,283,21:40
54,VIT_hallomybad,Team Vitality,5,1216,4,1,2,5,1,243,21:51
55,PeRo_i26v6,PERO,5,1104,8,2,2,5,1,221,21:04
56,DNS_Rex,DN SOOPers,5,1080,6,5,0,5,1,216,20:46
57,AL_Destroyy,Anyone's Legend,5,1076,5,5,0,5,1,215,25:51
58,DNS_Gyumin,DN SOOPers,5,1013,6,3,1,5,1,203,21:07
59,VP_Lukarux,Virtus.pro,5,1000,6,4,2,5,1,200,16:33
60,NAVI_Feyerist,NAVI,5,874,3,3,2,5,1,175,25:16
61,CR_Pio,CR,5,830,2,2,0,5,1,166,20:21
62,T5_Khawkong,T5,5,817,4,1,0,5,1,163,20:09
63,FUR_bielmtcalmo,FUR,5,765,4,2,1,5,1,153,25:19
64,GTE_DuCkHjeUz,GAM X TE,5,750,5,1,1,5,1,150,23:09
65,17_WenBo,17 Gaming,4,1372,5,4,0,10,0.4,137,22:36
66,PeRo_MMing,PERO,4,1146,7,3,2,5,0.8,229,22:42
67,FUR_zkrakeN,FUR,4,735,3,2,1,5,0.8,147,21:05
68,4AM_HSmm,4AM,3,1545,4,6,1,10,0.3,155,22:00
69,VP_NIXZYEE,Virtus.pro,3,1222,6,2,0,5,0.6,244,14:32
70,MiTH_Baren,Made in Thailand,3,1019,3,0,0,10,0.3,102,19:36
71,EA_Pathompong,EA,3,1009,3,0,0,5,0.6,202,20:03
72,S2G_Quetpa,S2G,3,689,4,2,0,10,0.3,69,19:21
73,CR_Gyuyeon,CR,3,626,2,3,0,5,0.6,125,20:24
74,T5_DimasTy,T5,3,605,4,2,0,5,0.6,121,21:19
75,CTG_MMAO,CTG,3,559,4,4,0,5,0.6,112,18:31
76,AL_Delwyn,Anyone's Legend,3,466,2,0,1,5,0.6,93,22:05
77,JDG_nanss,JD Gaming,3,365,2,1,0,5,0.6,73,18:13
78,17_Lilghost,17 Gaming,2,2080,11,4,0,10,0.2,208,19:32
79,FLC_Shrimzy,Team Falcons,2,1805,5,6,0,5,0.4,361,24:34
80,FS_Thanad0l,Full Sense,2,1228,4,8,1,10,0.2,123,19:20
81,GTE_JUND,GAM X TE,2,943,3,0,0,5,0.4,189,20:34
82,S2G_BARON,S2G,2,913,2,4,0,10,0.2,91,16:47
83,T5_RangerX,T5,2,822,1,1,0,5,0.4,164,21:56
84,FCE_StannnL,FCE,2,782,4,4,1,5,0.4,156,23:42
85,CTG_SuiX1ngKzK,CTG,2,720,3,2,1,5,0.4,144,21:57
86,VIT_QWZYYY,Team Vitality,2,705,1,2,1,5,0.4,141,20:28
87,EA_Nourinz,EA,2,688,5,0,0,5,0.4,138,15:26
88,PeRo_Cui71,PERO,2,636,3,3,1,5,0.4,127,21:40
89,EA_OHPONDZ,EA,2,442,2,1,1,5,0.4,88,17:36
90,JDG_Cold119,JD Gaming,2,306,2,1,0,5,0.4,61,16:49
91,JDG_Dec12th,JD Gaming,1,327,2,1,0,5,0.2,65,18:49
92,VIT_Gedrox,Team Vitality,1,305,3,2,0,5,0.2,61,19:36
93,EA_Lericz,EA,1,177,0,2,0,5,0.2,35,21:02
94,T5_Flukky,T5,0,850,1,3,0,5,0,170,21:37
95,JDG_SuZe,JD Gaming,0,611,3,2,0,5,0,122,17:21
96,17_Akuma,17 Gaming,0,353,1,2,0,10,0,35,18:13
