스테이지,매치,일시,맵,순위,팀,킬,딜량,순위 점수,획득 점수
Winners Stage,1,26. 3. 26. AM 9:59,ERANGEL,2,NAVI,12,1374,6,18
Winners Stage,1,26. 3. 26. AM 9:59,ERANGEL,1,Anyone's Legend,7,1216,10,17
Winners Stage,1,26. 3. 26. AM 9:59,ERANGEL,4,4AM,5,1725,4,9
Winners Stage,1,26. 3. 26. AM 9:59,ERANGEL,5,Full Sense,6,640,3,9
Winners Stage,1,26. 3. 26. AM 9:59,ERANGEL,3,FUR,3,748,5,8
Winners Stage,1,26. 3. 26. AM 9:59,ERANGEL,6,Twisted Minds,2,466,2,4
Winners Stage,1,26. 3. 26. AM 9:59,ERANGEL,8,Made in Thailand,3,868,1,4
Winners Stage,1,26. 3. 26. AM 9:59,ERANGEL,13,S2G,4,738,0,4
Winners Stage,1,26. 3. 26. AM 9:59,ERANGEL,10,FCE,3,507,0,3
Winners Stage,1,26. 3. 26. AM 9:59,ERANGEL,11,DN SOOPers,3,490,0,3
Winners Stage,1,26. 3. 26. AM 9:59,ERANGEL,12,T1,3,430,0,3
Winners Stage,1,26. 3. 26. AM 9:59,ERANGEL,7,PeRo,1,480,1,2
Winners Stage,1,26. 3. 26. AM 9:59,ERANGEL,14,EA,2,178,0,2
Winners Stage,1,26. 3. 26. AM 9:59,ERANGEL,9,Team Falcons,1,695,0,1
Winners Stage,1,26. 3. 26. AM 9:59,ERANGEL,15,TE,1,180,0,1
Winners Stage,1,26. 3. 26. AM 9:59,ERANGEL,16,JD Gaming,1,458,0,1
Winners Stage,2,26. 3. 26. AM 10:39,MIRAMAR,1,TE,6,655,10,16
Winners Stage,2,26. 3. 26. AM 10:39,MIRAMAR,3,Team Falcons,7,1208,5,12
Winners Stage,2,26. 3. 26. AM 10:39,MIRAMAR,2,S2G,3,1053,6,9
Winners Stage,2,26. 3. 26. AM 10:39,MIRAMAR,5,PeRo,6,986,3,9
Winners Stage,2,26. 3. 26. AM 10:39,MIRAMAR,8,Full Sense,8,1767,1,9
Winners Stage,2,26. 3. 26. AM 10:39,MIRAMAR,4,FUR,4,635,4,8
Winners Stage,2,26. 3. 26. AM 10:39,MIRAMAR,7,Twisted Minds,6,968,1,7
Winners Stage,2,26. 3. 26. AM 10:39,MIRAMAR,11,NAVI,7,1189,0,7
Winners Stage,2,26. 3. 26. AM 10:39,MIRAMAR,12,Anyone's Legend,5,770,0,5
Winners Stage,2,26. 3. 26. AM 10:39,MIRAMAR,6,4AM,2,978,2,4
Winners Stage,2,26. 3. 26. AM 10:39,MIRAMAR,9,DN SOOPers,3,1082,0,3
Winners Stage,2,26. 3. 26. AM 10:39,MIRAMAR,14,Made in Thailand,3,755,0,3
Winners Stage,2,26. 3. 26. AM 10:39,MIRAMAR,16,T1,2,785,0,2
Winners Stage,2,26. 3. 26. AM 10:39,MIRAMAR,13,FCE,1,567,0,1
Winners Stage,2,26. 3. 26. AM 10:39,MIRAMAR,15,JD Gaming,1,485,0,1
Winners Stage,2,26. 3. 26. AM 10:39,MIRAMAR,10,EA,0,579,0,0
Winners Stage,3,26. 3. 26. AM 11:21,TAEGO,1,DN SOOPers,8,1402,10,18
Winners Stage,3,26. 3. 26. AM 11:21,TAEGO,2,4AM,10,1857,6,16
Winners Stage,3,26. 3. 26. AM 11:21,TAEGO,3,Team Falcons,11,1388,5,16
Winners Stage,3,26. 3. 26. AM 11:21,TAEGO,13,Full Sense,7,726,0,7
Winners Stage,3,26. 3. 26. AM 11:21,TAEGO,5,T1,3,1147,3,6
Winners Stage,3,26. 3. 26. AM 11:21,TAEGO,4,EA,1,385,4,5
Winners Stage,3,26. 3. 26. AM 11:21,TAEGO,7,S2G,4,406,1,5
Winners Stage,3,26. 3. 26. AM 11:21,TAEGO,10,Anyone's Legend,5,1117,0,5
Winners Stage,3,26. 3. 26. AM 11:21,TAEGO,6,Made in Thailand,2,1215,2,4
Winners Stage,3,26. 3. 26. AM 11:21,TAEGO,12,Twisted Minds,4,798,0,4
Winners Stage,3,26. 3. 26. AM 11:21,TAEGO,8,TE,1,340,1,2
Winners Stage,3,26. 3. 26. AM 11:21,TAEGO,15,PeRo,2,359,0,2
Winners Stage,3,26. 3. 26. AM 11:21,TAEGO,9,JD Gaming,1,860,0,1
Winners Stage,3,26. 3. 26. AM 11:21,TAEGO,14,FCE,1,441,0,1
Winners Stage,3,26. 3. 26. AM 11:21,TAEGO,16,NAVI,1,487,0,1
Winners Stage,3,26. 3. 26. AM 11:21,TAEGO,11,FUR,0,223,0,0
Winners Stage,4,26. 3. 26. AM 11:59,RONDO,1,Twisted Minds,6,1866,10,16
Winners Stage,4,26. 3. 26. AM 11:59,RONDO,2,FUR,7,1432,6,13
Winners Stage,4,26. 3. 26. AM 11:59,RONDO,4,DN SOOPers,9,1100,4,13
Winners Stage,4,26. 3. 26. AM 11:59,RONDO,5,4AM,5,885,3,8
Winners Stage,4,26. 3. 26. AM 11:59,RONDO,8,Made in Thailand,6,850,1,7
Winners Stage,4,26. 3. 26. AM 11:59,RONDO,12,EA,6,865,0,6
Winners Stage,4,26. 3. 26. AM 11:59,RONDO,3,T1,0,372,5,5
Winners Stage,4,26. 3. 26. AM 11:59,RONDO,7,Full Sense,4,1305,1,5
Winners Stage,4,26. 3. 26. AM 11:59,RONDO,10,FCE,5,377,0,5
Winners Stage,4,26. 3. 26. AM 11:59,RONDO,9,TE,4,1213,0,4
Winners Stage,4,26. 3. 26. AM 11:59,RONDO,13,Team Falcons,4,278,0,4
Winners Stage,4,26. 3. 26. AM 11:59,RONDO,6,PeRo,1,719,2,3
Winners Stage,4,26. 3. 26. AM 11:59,RONDO,11,S2G,1,405,0,1
Winners Stage,4,26. 3. 26. AM 11:59,RONDO,14,JD Gaming,1,192,0,1
Winners Stage,4,26. 3. 26. AM 11:59,RONDO,15,Anyone's Legend,1,165,0,1
