순위,선수,팀,킬,딜량,기절시킴,어시스트,헤드샷,경기,경기당킬,경기당딜,평균 생존시간
89,NOR_jeemzz,NOR,3,1496,5,1,1,10,0.3,150,16:25
90,MAS_empt,MAS,3,1397,5,4,1,10,0.3,140,18:08
91,KAZ_Hoba,KAZ,3,1384,6,3,1,10,0.3,138,19:52
92,NOR_Aitzy,NOR,3,1250,5,3,2,10,0.3,125,19:04
93,IND_SniPauL,IND,3,883,3,2,0,10,0.3,88,15:44
94,IND_Ryzn07,IND,2,1136,7,2,2,10,0.2,114,17:32
95,CAN_Adam,CAN,1,766,5,5,0,10,0.1,77,14:41
96,NOR_Tekkerz,NOR,1,640,2,1,0,5,0.2,128,19:16
97,JPN_Runax,JPN,0,901,0,4,0,10,0,90,15:55
98,MAS_SlyDD,MAS,0,584,1,4,0,10,0,58,19:46
99,KAZ_Verstory,KAZ,0,494,0,1,0,5,0,99,17:42
