순위,팀,경기,순위 점수,킬,합계,WWCD,누적딜,경기당킬
1,MiTH,15,65,116,181,4,19070,7.7
2,DN SOOPers,20,49,84,133,2,14869,4.2
3,PERO,20,50,82,132,2,14675,4.1
4,Team Vitality,20,48,82,130,3,16279,4.1
5,Team Falcons,20,36,90,126,0,19224,4.5
6,GAM X TE,20,36,79,115,0,16309,4
7,EA,20,40,72,112,2,13722,3.6
8,GEN,20,35,69,104,1,15627,3.5
9,CR,20,36,67,103,1,12101,3.4
10,17 Gaming,15,37,58,95,1,11040,3.9
11,Virtus.pro,15,29,65,94,0,15526,4.3
12,T1,15,35,57,92,0,11993,3.8
13,NAVI,15,27,59,86,2,13227,3.9
14,Twisted Minds,15,30,49,79,0,11325,3.3
15,4AM,15,25,44,69,0,10194,2.9
16,Anyone's Legend,15,21,34,55,1,8437,2.3
17,FUR,5,13,21,34,0,4394,4.2
18,T5,5,12,9,21,1,3176,1.8
19,S2G,5,9,6,15,0,2205,1.2
20,Full Sense,5,1,14,15,0,3137,2.8
21,TL,5,1,11,12,0,2500,2.2
22,CTG,5,0,10,10,0,2260,2
23,FCE,5,2,7,9,0,2086,1.4
24,JD Gaming,5,3,5,8,0,2205,1

공식 최종 순위 (외부 출처 확인값)
순위,팀
1,Made in Thailand
2,DN SOOPers
3,17 Gaming
4,Petrichor Road
