스테이지,매치,일시,맵,순위,팀,킬,딜량,순위 점수,획득 점수
Winners Stage,1,26. 5. 28. 오후 7:00,ERANGEL,1,Anyone's Legend,19,2938,10,29
Winners Stage,1,26. 5. 28. 오후 7:00,ERANGEL,2,TL,3,821,6,9
Winners Stage,1,26. 5. 28. 오후 7:00,ERANGEL,3,FUR,4,435,5,9
Winners Stage,1,26. 5. 28. 오후 7:00,ERANGEL,6,GAM X TE,5,676,2,7
Winners Stage,1,26. 5. 28. 오후 7:00,ERANGEL,5,Team Falcons,3,949,3,6
Winners Stage,1,26. 5. 28. 오후 7:00,ERANGEL,8,DN SOOPers,5,684,1,6
Winners Stage,1,26. 5. 28. 오후 7:00,ERANGEL,4,GEN,1,466,4,5
Winners Stage,1,26. 5. 28. 오후 7:00,ERANGEL,9,T1,5,588,0,5
Winners Stage,1,26. 5. 28. 오후 7:00,ERANGEL,10,Twisted Minds,4,879,0,4
Winners Stage,1,26. 5. 28. 오후 7:00,ERANGEL,12,NAVI,4,886,0,4
Winners Stage,1,26. 5. 28. 오후 7:00,ERANGEL,11,4AM,3,653,0,3
Winners Stage,1,26. 5. 28. 오후 7:00,ERANGEL,7,FCE,0,115,1,1
Winners Stage,1,26. 5. 28. 오후 7:00,ERANGEL,13,CR,1,52,0,1
Winners Stage,1,26. 5. 28. 오후 7:00,ERANGEL,16,PeRo,1,277,0,1
Winners Stage,1,26. 5. 28. 오후 7:00,ERANGEL,14,Virtus.pro,0,253,0,0
Winners Stage,1,26. 5. 28. 오후 7:00,ERANGEL,15,Made in Thailand,0,284,0,0
Winners Stage,2,26. 5. 28. 오후 7:41,MIRAMAR,1,Twisted Minds,10,1492,10,20
Winners Stage,2,26. 5. 28. 오후 7:41,MIRAMAR,2,TL,10,1341,6,16
Winners Stage,2,26. 5. 28. 오후 7:41,MIRAMAR,3,FUR,10,2079,5,15
Winners Stage,2,26. 5. 28. 오후 7:41,MIRAMAR,6,Virtus.pro,8,1665,2,10
Winners Stage,2,26. 5. 28. 오후 7:41,MIRAMAR,5,Team Falcons,3,851,3,6
Winners Stage,2,26. 5. 28. 오후 7:41,MIRAMAR,7,Anyone's Legend,5,1247,1,6
Winners Stage,2,26. 5. 28. 오후 7:41,MIRAMAR,4,PeRo,1,163,4,5
Winners Stage,2,26. 5. 28. 오후 7:41,MIRAMAR,8,GEN,4,1082,1,5
Winners Stage,2,26. 5. 28. 오후 7:41,MIRAMAR,11,NAVI,3,585,0,3
Winners Stage,2,26. 5. 28. 오후 7:41,MIRAMAR,14,GAM X TE,3,610,0,3
Winners Stage,2,26. 5. 28. 오후 7:41,MIRAMAR,15,Made in Thailand,3,561,0,3
Winners Stage,2,26. 5. 28. 오후 7:41,MIRAMAR,13,DN SOOPers,2,271,0,2
Winners Stage,2,26. 5. 28. 오후 7:41,MIRAMAR,9,4AM,0,509,0,0
Winners Stage,2,26. 5. 28. 오후 7:41,MIRAMAR,10,T1,0,366,0,0
Winners Stage,2,26. 5. 28. 오후 7:41,MIRAMAR,12,FCE,0,167,0,0
Winners Stage,2,26. 5. 28. 오후 7:41,MIRAMAR,16,CR,0,402,0,0
Winners Stage,3,26. 5. 28. 오후 8:24,TAEGO,1,FCE,10,1784,10,20
Winners Stage,3,26. 5. 28. 오후 8:24,TAEGO,3,PeRo,8,1039,5,13
Winners Stage,3,26. 5. 28. 오후 8:24,TAEGO,4,T1,8,1527,4,12
Winners Stage,3,26. 5. 28. 오후 8:24,TAEGO,2,4AM,5,621,6,11
Winners Stage,3,26. 5. 28. 오후 8:24,TAEGO,6,GAM X TE,7,1053,2,9
Winners Stage,3,26. 5. 28. 오후 8:24,TAEGO,8,CR,4,618,1,5
Winners Stage,3,26. 5. 28. 오후 8:24,TAEGO,14,NAVI,5,637,0,5
